format,compression,row_count,input_partitions,part_file_count,size_bytes,size_mb,median_write_time_sec,output_path
csv,default / no explicit compression option,5819079,16,16,589677593,562.3603754043579,10.147602399999414,C:\BigDataProject\output\format_benchmark\csv
json,default / no explicit compression option,5819079,16,16,2675232631,2551.3006505966187,3.2273832999999286,C:\BigDataProject\output\format_benchmark\json
parquet,snappy,5819079,16,16,141519434,134.9634494781494,3.036463499999627,C:\BigDataProject\output\format_benchmark\parquet
orc,snappy,5819079,16,16,169767638,161.9030361175537,3.23530269999992,C:\BigDataProject\output\format_benchmark\orc
